"","start","end","today","diviceid","titre_entretien","date_enquete","enqueteur","admin1_enquete","admin2_enquete","admin3_enquete","localite_enquete_realise","admin1_localite","admin2_localite","admin3_localite","nom_localite_renseigne","autre","source_info","source_info_autre","genre_informateur","age_informateur","statut_deplacement_informateur","source_info_localite","source_info_localite_autre","moyen_communication_contact","moyen_communication_contact_autre","info_dernier_mois","info_localite_habite","Maintenant_nous_allo_personnes_deplac_es","large_deplacement_population","raison_deplacement","raison_deplacement_autre","idp_site","idp_famille_accueil","proportion_deplaces","date_dernier_idp","provenance_dernier_idp","provenance_dernier_idp_prefecture","provenance_dernier_idp_sous_prefecture","raison_presence","raison_presence_autre","condition_retour","condition_retour_autre","Maintenant_nous_allo_personnes_retourn_es","retourne_dernier_mois","date_retour","provenance_dernier_retourne","provenance_dernier_retourne_prefecture","provenance_dernier_retourne_sous_prefecture","Maintenant_nous_allo_ns_sur_les_rapatri_s","presence_rapatries","date_retour_rapatries","provenance_rapatries","provenance_rapatries_pays","provenance_dernier_rapaties_autre","raison_rapatriement","raison_rapatriement_autre","Maintenant_nous_allo_s_curit_alimentaire","acces_nourriture","raison_inaccessible","raison_inacessible_autre","strategie_survie","strategie_survie/aucun","strategie_survie/vente_actifs_nonproductifs","strategie_survie/vente_actifs_productif","strategie_survie/reduire_depenses_nonalim","strategie_survie/emprunter_argent_nourriture","strategie_survie/vente_maison_champs","strategie_survie/activités_illegales","strategie_survie/mendier","strategie_survie/consommer_semences","strategie_survie/autre","strategie_survie/nsp","strategie_survie_autre","marche_fonctionnel","marche_fonctionnel_acces","marche_fonctionnel_prix","assistance_alimentaire","Maintenant_nous_allo_ion_sur_la_nutrition","malnutri_moins_cinq_ans","malnutri_plus_cinq_ans","acces_centre_prise_en_charge_malnutri","programme_alimentaire_article_nutritionnel","Maintenant_nous_allo_s_moyens_d_existence","depense_alimentation","source_revenu","source_revenu_autre","revenu_moyen","acces_terre","barriere_agriculture","barriere_agriculture_autre","possession_betail","type_betail","epidemie_betail","assistance_agricole","Maintenant_nous_all_uestions_sur_la_sant","pb_sante_moins_cinq_ans","pb_sante_moins_cinq_ans_autre","pb_sante_plus_cinq_ans","pb_sante_plus_cinq_ans_autre","cause_deces","cause_deces_autre","comparaison_deces","lieu_accouchement","lieu_accouchement_autre","raison_accouchement_maison","raison_accouchement_maison_autre","service_sante_distance_marche","lieu_soin_choisi","lieu_soin_choisi_autre","service_sante_duree_marche","service_sante_acces","service_sante_barriere","service_sante_barriere_autre","assistance_service_sante","Mainteneant_nous_all_ns_sur_la_protection","incident_mort","incident_pillage","sentiment_securite","risque_protection_fille","risque_protection_fille_autre","risque_protection_garcon","risque_protection_garcon_autre","risque_protection_femme","risque_protection_femme_autre","risque_protection_homme","risque_protection_homme_autre","mineurs_separes","mineurs_separes_raison","mineurs_separes_raison_autre","relation_idp_hote","assistance_protection","assistance_protection_autre","programme_protection_assistance","Maintenant_nous_allo_les_NFI_et_les_abris","type_abris_hote","type_abris_hote_autre","type_abris_refugie_idp","type_abris_refugie_idp_autre","type_abris_retourne_rapatrie","type_abris_retourne_rapatrie_autre","materiaux_dispo","paille","tole","bache","corde","bois","brique_cuite","brique_non_cuite","fer","ciment","nfi_001","couverture","seau","bidon","kit_cuisine","moustiquaire","couchage","bache_001","habit","savon","programme_assistance_abris_nfi","Maintenant_nous_allo_ns_relatives_l_eau","source_eau_boire","source_eau_boire_autre","source_eau_usage","source_eau_usage_autre","source_eau_temp_boire","source_eau_temp_usage","source_eau_saison_seche_boire","source_eau_saison_seche_usage","acces_eau","acces_eau_barriere","acces_eau_barriere_autre","Maintenant_nous_allo_au_lavage_des_mains","infra_sanitaire_utilise","infra_sanitaire_utilise_autre","dispositif_lavage_main","programme_assistance_eha","Maintenant_nous_allo_tions_sur_l_ducation","service_education_fonctionnel","service_education_dispo","service_education_indispo","service_education_indispo_autre","service_education_indispo_insecurite","service_education_indispo_insecurite_autre","participation_fille","participation_garcon","participation_fille_ado","participation_garcon_ado","acces_education_barriere","acces_education_barriere_autre","programme_assistance_education","Maintenant_nous_allo_ismes_de_redevabilit","source_info_confiance","source_info_confiance_autre","radio_fonctionnelle","station_radio_fonctionnelle","reseau_tel_fonctionnel","reseau_tel_fonctionnel_rupture","besoins_prioritaires","priorite_un","priorite_deux","priorite_trois","Maintenant_nous_allo_n_de_notre_entretien","ki_zone","ki_zone_contact","participation_focus_group","entretien_prochain_mois","entretien_prochain_mois_contact","final_enquete","__version__","_id","_uuid","_submission_time","_validation_status","_index"
"1",,,,,,,,,,,,"bamingui_bangoran","ndele","mbolo_pata","koutchikako",,,,,,,,,,,,,,"non",,,"oui","oui","moitie","dernier_mois","oui","bamingui_bangoran","ndele","conflits_armes",,"securite",,,"oui","dernier_mois","oui","bamingui_bangoran","ndele",,"non",,,,,"securite_deterioree",,,"non","faible_rendement",,,"0","0","0","0","1","0","0","0","0","1","0",,"oui","oui","oui","oui",,"oui","non","non","non",,"moitie","agriculture",,"dix_trente","oui","insecurite",,"oui","petit","oui","non",,"anemie",,"autre",,"maladie",,"non","maison",,"autre",,"non",,,,"pas_suffisant","destruction_combat",,"nsp",,"non","non","oui","mariage_force",,"mariage_force",,"violence_domestique",,"menaces_ga",,"oui","avec_autre_famille",,"neutre","autorite_locale",,"non",,"habitat_long_terme",,"urgence",,"habitat_long_terme",,,"oui","non","non","oui","oui","oui","oui","non","non",,"non","oui","oui","oui","oui","oui","non","oui","oui","oui",,"source_amenagee",,"riviere",,"inf_soixante_min","inf_trente_min","oui","oui","pas_suffisant","indispo_source",,,"latrine_non_acceptable",,"non","nsp",,"non",,"destruction_catastrophe_naturelle",,,,,,,,,,"oui",,"leaders_tradition",,"non","non","non",,,"sante","education","eha",,,,,,,,,,,,,
"2",,,,,,,,,,,,"bamingui_bangoran","ndele","mbolo_pata","krakoma",,,,,,,,,,,,,,"non",,,"non","AC",,,,,,,,,,,"oui","dernier_mois","AC","bamingui_bangoran","ndele",,"non",,,,,"AC",,,"non","AC",,,"0","0","0","AC","0","0","0","0","0","AC","0",,"AC",,,"non",,"oui","AC","AC","AC",,"majorite","AC",,"dix_trente","oui","manque_semence_outils",,"oui","petit","oui","non",,"AC",,"palu",,"maladie",,"non","poste_sante",,,,"oui","poste_sante",,"inf_trente_min","pas_suffisant","AC",,"AC",,"non","non","non","AC",,"AC",,"AC",,"menaces_ga",,"oui","mariage",,"AC","autorite_locale",,"non",,"habitat_long_terme",,,,"habitat_long_terme",,,"AC","non","non","AC","oui","non","oui","non","non",,"AC","AC","oui","oui","AC","oui","non","AC","oui","non",,"AC",,"riviere",,"AC","AC","oui","oui","AC",,,,"AC",,"AC","non",,"AC",,,,,,,,,,,,"non",,"leaders_tradition",,"non","non","non",,,"AC","AC","AC",,,,,,,,,,,,,
"3",,,,,,,,,,,,"bamingui_bangoran","ndele","mbolo_pata","krokoma",,,,,,,,,,,,,,"non",,,"non","oui","minorite","6_dernier_mois","oui","bamingui_bangoran","ndele","conflits_armes",,"securite",,,"oui","3_dernier_mois","oui","bamingui_bangoran","ndele",,"oui","3_dernier_mois","oui","tchad",,"qualite_vie",,,"non","faible_rendement",,,"0","0","0","0","1","0","0","0","0","1","0",,"non",,,"non",,"oui","non","non","non",,"majorite","agriculture",,"dix_trente","oui","manque_semence_outils",,"oui","petit","oui","non",,"toux",,"palu",,"maladie",,"non","poste_sante",,,,"oui","poste_sante",,"inf_trente_min","pas_suffisant","medicament_indispo",,"non",,"non","non","oui","mariage_force",,"mariage_force",,"violence_domestique",,"aucun",,"oui","mariage",,"bonne","autorite_locale",,"non",,"habitat_long_terme",,"habitat_long_terme",,"habitat_long_terme",,,"oui","non","non","oui","oui","oui","oui","non","non",,"oui","oui","oui","oui","oui","oui","non","oui","oui","non",,"source_non_amenagee",,"riviere",,"inf_quinze_min","inf_quinze_min","oui","oui","juste_assez",,,,"defecation_air_libre",,"oui","non",,"non",,"insecurite",,"groupe_arme",,,,,,,,"oui",,"leaders_tradition",,"non","non","non",,,"education","subsistance","sante",,,,,,,,,,,,,
"4",,,,,,,,,,,,"bamingui_bangoran","ndele","mbolo_pata","pata_1",,,,,,,,,,,,,,"non",,,"non","oui","minorite","AC","oui","AC","AC","conflits_armes",,"securite",,,"oui","AC","oui","AC","AC",,"non",,,,,"AC",,,"non","AC",,,"0","0","0","0","1","0","0","0","0","1","0",,"non",,,"non",,"oui","non","non","non",,"majorite","agriculture",,"AC","oui","manque_semence_outils",,"oui","petit","oui","non",,"palu",,"AC",,"maladie",,"non","maison",,"AC",,"non",,,,"pas_suffisant","existence_infra",,"non",,"non","non","oui","AC",,"mariage_force",,"AC",,"menaces_ga",,"oui","AC",,"bonne","autorite_locale",,"non",,"habitat_long_terme",,"habitat_long_terme",,"habitat_long_terme",,,"oui","non","non","oui","oui","non","oui","non","non",,"oui","oui","oui","oui","oui","oui","non","oui","oui","non",,"AC",,"riviere",,"inf_quinze_min","inf_quinze_min","oui","oui","pas_suffisant","qualite_eau",,,"defecation_air_libre",,"non","non",,"non",,"AC",,,,,,,,,,"non",,"leaders_tradition",,"non","non","non",,,"sante","education","AC",,,,,,,,,,,,,
"5",,,,,,,,,,,,"bamingui_bangoran","ndele","mbolo_pata","takara",,,,,,,,,,,,,,"non",,,"non","oui","minorite","3_dernier_mois","oui","bamingui_bangoran","ndele","conflits_armes",,"securite",,,"oui","dernier_mois","oui","bamingui_bangoran","ndele",,"non",,,,,"meilleure_secu",,,"non","destruction_combat",,,"0","0","0","0","AC","0","0","0","0","1","0",,"non",,,"non",,"oui","non","non","non",,"AC","agriculture",,"dix_trente","oui","manque_semence_outils",,"oui","petit","oui","non",,"diarrhee",,"palu",,"maladie",,"non","maison",,"manque_cs",,"non",,,,"pas_suffisant","AC",,"non",,"non","non","non","mariage_force",,"mariage_force",,"violence_domestique",,"AC",,"oui","AC",,"AC","autorite_locale",,"non",,"habitat_long_terme",,"habitat_long_terme",,"habitat_long_terme",,,"oui","non","non","oui","oui","AC","oui","non","non",,"AC","non","oui","oui","AC","oui","non","oui","oui","non",,"AC",,"AC",,"inf_quinze_min","inf_quinze_min","oui","oui","pas_suffisant","AC",,,"AC",,"non","non",,"oui","publique",,,,,"majorite","majorite","AC","AC","AC",,"non",,"leaders_tradition",,"non","non","non",,,"sante","eha","secal",,,,,,,,,,,,,
"6",,,,,,,,,,,,"bamingui_bangoran","ndele","mbolo_pata","yangou_brindi",,,,,,,,,,,,,,"non",,,"non","non",,,,,,,,,,,"non",,,,,,"non",,,,,,,,"non","faible_rendement",,,"0","0","0","1","1","0","0","0","1","0","0",,"non",,,"non",,"oui","oui","non","non",,"majorite","peche_chasse",,"inf_dix","oui","manque_semence_outils",,"non",,,"non",,"diarrhee",,"palu",,"maladie",,"non","maison",,"manque_cs",,"non",,,,"pas_suffisant","existence_infra",,"non",,"non","non","non","separation_familiale",,"violence_domestique",,"pillage_criminalite",,"pillage_criminalite",,"non",,,,"autorite_locale",,"non",,"habitat_long_terme",,,,,,,"non","non","non","non","oui","non","oui","non","non",,"non","non","oui","oui","non","oui","non","non","oui","non",,"source_amenagee",,"riviere",,"inf_quinze_min","inf_quinze_min","oui","oui","pas_suffisant","qualite_eau",,,"defecation_air_libre",,"non","non",,"non",,"existence_infra_scolaire",,,,,,,,,,"non",,"leaders_tradition",,"non","non","non",,,"sante","eha","secal",,,,,,,,,,,,,
"7",,,,,,,,,,,,"basse_kotto","alindao","bakou","bourda_1",,,,,,,,,,,,,,"non",,,"non","oui","minorite","3_dernier_mois","oui","basse_kotto","alindao","conflits_armes",,"securite",,,"oui","3_dernier_mois","oui","basse_kotto","alindao",,"non",,,,,"meilleure_secu",,,"non","destruction_combat",,,"0","0","0","0","0","0","0","0","1","0","0",,"oui","oui","oui","oui",,"oui","oui","non","non",,"moins_moitie","agriculture",,"inf_dix","oui","manque_semence_outils",,"non",,,"non",,"autre",,"palu",,"maladie",,"nsp","maison",,"manque_cs",,"non",,,,"insuffisant","existence_infra",,"non",,"non","non","oui","mariage_force",,"mariage_force",,"autre",,"autre",,"oui","perdu_pendant_deplacement",,"bonne","autorite_locale",,"non",,"habitat_long_terme",,"urgence",,"urgence",,,"oui","non","oui","non","non","non","non","non","non",,"non","non","non","non","non","non","non","non","non","non",,"puit_non_protege",,"riviere",,"inf_quinze_min","inf_soixante_min","oui","oui","insuffisant","qualite_eau",,,"defecation_air_libre",,"non","non",,"non",,"destruction_combat",,,,,,,,,,"non",,"leaders_tradition",,"non","non","non",,,"education","sante","subsistance",,,,,,,,,,,,,
"8",,,,,,,,,,,,"basse_kotto","alindao","bakou","fini-kodro",,,,,,,,,,,,,,"oui","conflits_armes",,"oui","oui","minorite","3_dernier_mois","oui","basse_kotto","alindao","conflits_armes",,"securite",,,"oui","dernier_mois","oui","basse_kotto","alindao",,"non",,,,,"famille",,,"non","destruction_combat",,,"0","1","0","0","0","0","0","0","1","0","0",,"oui","non","oui","non",,"oui","oui","non","non",,"moins_moitie","jtt_agricole",,"inf_dix","oui","manque_moyens",,"oui","petit","oui","non",,"diarrhee",,"palu",,"maladie",,"oui","maison",,"maternite_trop_chere",,"oui","poste_sante",,"inf_heure","pas_suffisant","existence_infra",,"non",,"non","non","oui","mariage_force",,"aucun",,"separation_familiale",,"recrutement_force",,"oui","perdu_pendant_deplacement",,"bonne","autorite_locale",,"non",,"habitat_long_terme",,"habitat_long_terme",,"habitat_long_terme",,,"oui","non","non","non","non","oui","oui","non","non",,"non","non","non","non","non","non","non","non","non","non",,"forage",,"riviere",,"inf_trente_min","inf_soixante_min","non","oui","pas_suffisant","indispo_source",,,"defecation_air_libre",,"non","non",,"oui","communautaire",,,,,"plus_moitie","majorite","plus_moitie","majorite","finances",,"non",,"leaders_tradition",,"non","non","non",,,"nfi","sante","education",,,,,,,,,,,,,
"9",,,,,,,,,,,,"basse_kotto","alindao","bakou","gbaloba",,,,,,,,,,,,,,"non",,,"AC","oui","minorite","plus_de_un_an","oui","basse_kotto","alindao","AC",,"AC",,,"oui","AC","oui","basse_kotto","alindao",,"AC",,,,,"AC",,,"non","AC",,,"AC","AC","0","0","0","0","0","0","AC","0","0",,"oui","AC","oui","non",,"oui","oui","non","non",,"moins_moitie","agriculture",,"AC","oui","AC",,"AC",,,"non",,"AC",,"AC",,"maladie",,"AC","maison",,"AC",,"oui","poste_sante",,"AC","AC",,,"non",,"non","non","oui","mariage_force",,"AC",,"AC",,"AC",,"oui","perdu_pendant_deplacement",,"bonne","autorite_locale",,"non",,"AC",,"AC",,"AC",,,"AC","non","non","non","non","non","non","non","non",,"non","non","non","non","non","non","non","non","non","non",,"source_non_amenagee",,"AC",,"AC","AC","AC","AC","AC",,,,"defecation_air_libre",,"non","non",,"oui","AC",,,,,"AC","AC","AC","AC","AC",,"non",,"leaders_tradition",,"non","non","non",,,"AC","AC","AC",,,,,,,,,,,,,
"10",,,,,,,,,,,,"basse_kotto","alindao","bakou","gbeloba_2",,,,,,,,,,,,,,"non",,,"non","AC",,,,,,,,,,,"oui","3_dernier_mois","oui","basse_kotto","alindao",,"non",,,,,"AC",,,"non","destruction_combat",,,"0","1","1","0","0","0","0","AC","0","0","0",,"oui","oui","oui","AC",,"oui","oui","non","non",,"moins_moitie","agriculture",,"inf_dix","oui","manque_semence_outils",,"non",,,"non",,"AC",,"rougeole",,"maladie",,"AC","maison",,"manque_cs",,"non",,,,"AC",,,"non",,"non","non","oui","mariage_force",,"AC",,"AC",,"AC",,"oui","avec_autre_famille",,"bonne","autorite_locale",,"non",,"AC",,,,"habitat_long_terme",,,"oui","non","non","AC","non","oui","oui","AC","AC",,"non","non","non","non","non","non","non","non","non","non",,"AC",,"riviere",,"sup_soixante_min","AC","AC","oui","insuffisant","AC",,,"defecation_air_libre",,"non","non",,"oui","publique",,,,,"AC","plus_moitie","AC","moins_moitie","finances",,"non",,"leaders_tradition",,"non","non","non",,,"AC","AC","AC",,,,,,,,,,,,,
